docId,Entity,Start,End,Tag
S0012821X13007309-1649,characteristic excursion spans,619,649,MeasuredEntity
S0012821X13007309-1649,interbedded shales,665,683,MeasuredEntity
S0012821X13007309-1649,δ13Corg values fluctuate,721,745,MeasuredEntity
S0012821X13007309-1649,maximum enrichment in the δ13Corg,777,810,MeasuredEntity
S0019103512002801-2075,energetic electrons,81,100,MeasuredEntity
S0019103511004994-1607,panels show,510,521,MeasuredEntity
S0019103511004994-1607,MIMI/LEMMS,624,634,MeasuredEntity
S0038071711004354-1644,soil,195,199,MeasuredEntity
S0038071711004354-1644,sand,398,402,MeasuredEntity
S0032386113005454-2876,S-CSR-modified epoxy polymers,212,241,MeasuredEntity
S0032386113005454-2876,sub-critically loaded,353,374,MeasuredEntity
S0032386113005454-2876,S-CSR particle-modified epoxy polymers,701,739,MeasuredEntity
S0038071711004354-2578,soil profile,98,110,MeasuredEntity
S0038071711004354-2578,end-member model,241,257,MeasuredEntity
S0927024813002961-1322,spectrum can,57,69,MeasuredEntity
S0032386113005454-2022,particles,935,944,MeasuredEntity
S0167610513001001-1618,wind,126,130,MeasuredEntity
S0927024813003036-1981,Samples,362,369,MeasuredEntity
S0927024813003036-1981,“uncontaminated” samples,948,972,MeasuredEntity
S0378383913001567-7073,∆t,153,155,MeasuredEntity
S0167880913001229-1323,SOC stock,236,245,MeasuredEntity
S0167880913001229-1323,positive correlation,443,463,MeasuredEntity
S0167880913001229-1323,SOC,539,542,MeasuredEntity
S2213158213000582-1279,Presenting 150 click trials,404,431,MeasuredEntity
S2213158213000582-1279,present study,513,526,MeasuredEntity
S0016236113008041-3127,major elements,273,287,MeasuredEntity
S0016236113008041-3127,Ni,353,355,MeasuredEntity
S0301010413004096-693,materials,234,243,MeasuredEntity
S0925443913001385-1319,OXPHOS,707,713,MeasuredEntity
S0925443913001385-1319,of patients suffering,970,991,MeasuredEntity
S0925443913001385-1319,-modifying enzymes,2356,2374,MeasuredEntity
S0925443913001385-1319,described,2930,2939,MeasuredEntity
S0925443913001385-1319,cardiomyopathy,3034,3048,MeasuredEntity
S1873506114000075-665,Scale bar,408,417,MeasuredEntity
S1873506114000075-665,Scale bar,575,584,MeasuredEntity
S0378112713005288-1800,height of,589,598,MeasuredEntity
S0378112713005288-1800,nearest seed source,831,850,MeasuredEntity
S0378112713005288-1800,a mature tree),863,877,MeasuredEntity
S0378112713005288-1800,native seed,971,982,MeasuredEntity
S0378112713005288-1800,cover,1178,1183,MeasuredEntity
S0378383912000130-3891,sediments,538,547,MeasuredEntity
S0960148113002735-1289,uses,167,171,MeasuredEntity
S0019103512003533-5300,Saturn,391,397,MeasuredEntity
S0019103512003533-5300,particles,533,542,MeasuredEntity
S0019103512003533-5300,soft,607,611,MeasuredEntity
S0032063313003218-7389,scenarios,210,219,MeasuredEntity
S0032063313003218-7156,total power per,342,357,MeasuredEntity
S0032063313003218-7156,case EF,568,575,MeasuredEntity
S0032063313003218-7156,case EF,1140,1147,MeasuredEntity
S0032063313003218-7156,case ES,1168,1175,MeasuredEntity
S2213671113000921-756,scale bar,48,57,MeasuredEntity
S0378383913001567-6892,channel,4,11,MeasuredEntity
S0378383913001567-6892,water,422,427,MeasuredEntity
S1750583613004192-1689,sea level rise and the flotation,716,748,MeasuredEntity
S1750583613004192-1689,shales,896,902,MeasuredEntity
S0016236113008041-3257,samples,416,423,MeasuredEntity
S0016236113008041-3257,quantities of C,846,861,MeasuredEntity
S0019103512003533-3908,factor,467,473,MeasuredEntity
S2211124712002884-620,PGRN S116X iPSC,107,122,MeasuredEntity
S2211124712002884-620,Scale bar,222,231,MeasuredEntity
S0167577X13006393-801,carbon,385,391,MeasuredEntity
S0167577X13006393-801,native HA nanopowder and why the,773,805,MeasuredEntity
S0167577X13006393-801,conversion degree,1108,1125,MeasuredEntity
S0038071711004354-2389,end-member mixing model,40,63,MeasuredEntity
S0038071711004354-2389,end-member model,285,301,MeasuredEntity
S0168945213001805-5396,called ‘,256,264,MeasuredEntity
S0168945213001805-5396,Populus trees,532,545,MeasuredEntity
S0168945213001805-5396,saplings,614,622,MeasuredEntity
S0168945213001805-5396,tissue cultures,1430,1445,MeasuredEntity
S0168945213001805-5396,potent genes,2756,2768,MeasuredEntity
S0168945213001805-5396,hybrid aspen (P. tremula ×,3209,3235,MeasuredEntity
S0168945213001805-5396,prompt elimination of test materials,4859,4895,MeasuredEntity
S0022399913003358-956,UK adults,540,549,MeasuredEntity
S0378383912000130-1041,Time-series of measured (symbols) and model-predicted (solid line),0,66,MeasuredEntity
S0378383912000130-1041,beaches,112,119,MeasuredEntity
S0032386113005454-2886,S-CSR particle-modified epoxy polymers,29,67,MeasuredEntity
S0032386113005454-2886,relatively,340,350,MeasuredEntity
S0032386113005454-2886,S-CSR-modified epoxy polymers,384,413,MeasuredEntity
S0032063313003218-5269,ionospheric temperature,230,253,MeasuredEntity
S0032063313003218-5269,increase,1051,1059,MeasuredEntity
S2213158213000582-1183,intervals greater,394,411,MeasuredEntity
S0257897213007573-959,nanopores,1215,1224,MeasuredEntity
S0022000014000026-12523,node,77,81,MeasuredEntity
S0022000014000026-12523,input port Si,166,179,MeasuredEntity
S0022459611006116-1257,successfully synthesised,36,60,MeasuredEntity
S0022459611006116-1257,anisotropic thermal displacement parameters,1659,1702,MeasuredEntity
S2213671113000738-667,neurons,230,237,MeasuredEntity
S2213671113000738-667,mRNAs,430,435,MeasuredEntity
S0167610513001001-1769,instruments,143,154,MeasuredEntity
S0167610513001001-1769,datasets,293,301,MeasuredEntity
S0012821X12004384-990,Samples,541,548,MeasuredEntity
S0925443913001385-849,different amounts,270,287,MeasuredEntity
S0925443913001385-849,total RNAs,308,318,MeasuredEntity
S0967064513002774-1376,temperature-compensated oxygen analyser,144,183,MeasuredEntity
S0967064513002774-1376,Magnetic stirrers ensured homogeneity,236,273,MeasuredEntity
S2213158213001253-2433,classifiers,26,37,MeasuredEntity
S2213158213001253-2433,combination,1073,1084,MeasuredEntity
S2213158213001253-2433,classifier draws a vertical line,1289,1321,MeasuredEntity
S2213158213001253-2433,groups of subjects,1553,1571,MeasuredEntity
S0960148113002735-2182,rotational velocity,976,995,MeasuredEntity
S016412121300188X-3207,closed source) code,224,243,MeasuredEntity
S016412121300188X-3207,programs,354,362,MeasuredEntity
S016412121300188X-3207,clusters,528,536,MeasuredEntity
S0378112713005288-1916,animal-dispersed species,501,525,MeasuredEntity
S2213158213000582-1390,L-SMG,341,346,MeasuredEntity
S1873506114000075-1104,1-Step NBT,47,57,MeasuredEntity
S1873506114000075-1104,Pierce,64,70,MeasuredEntity
S0378383911001669-2205,sand-rough,218,228,MeasuredEntity
S0378383911001669-2205,sand-rough beach,290,306,MeasuredEntity
S1873506113001116-1456,integration-free hiPSC lines,94,122,MeasuredEntity
S1873506113001116-1456,cells exhibited homogeneous aggregate formation,188,235,MeasuredEntity
S0032386113005454-1270,S-CSR-modified epoxy polymers,161,190,MeasuredEntity
S037842901300244X-1654,plants,259,265,MeasuredEntity
S037842901300244X-1654,HYD),393,397,MeasuredEntity
S037842901300244X-1801,separate field trials,726,747,MeasuredEntity
S037842901300244X-1801,real comparison,809,824,MeasuredEntity
